Decision Tree,aspect0,aspect1,aspect2,aspect3,aspect4,aspect5,micro,macro
p,0.9651162790697675,0.7906976744186046,0.825,0.9382022471910112,0.9408284023668639,0.96,0.9242144177449169,0.9033074338410412
r,0.9880952380952381,0.8292682926829268,0.9166666666666666,0.9175824175824175,0.9137931034482759,1.0,0.9242144177449169,0.9275676197459207
f1,0.9764705882352942,0.8095238095238095,0.8684210526315789,0.9277777777777777,0.9271137026239068,0.9795918367346939,0.9242144177449169,0.9148164612545102

K-nearest-neighbor,aspect0,aspect1,aspect2,aspect3,aspect4,aspect5,micro,macro
p,0.9651162790697675,0.7906976744186046,0.825,0.9382022471910112,0.9408284023668639,0.96,0.8977777777777778,0.9033074338410412
r,0.9880952380952381,0.8292682926829268,0.9166666666666666,0.9175824175824175,0.9137931034482759,1.0,0.933456561922366,0.9275676197459207
f1,0.9764705882352942,0.8095238095238095,0.8684210526315789,0.9277777777777777,0.9271137026239068,0.9795918367346939,0.915269596737653,0.9148164612545102

Logistic Regression,aspect0,aspect1,aspect2,aspect3,aspect4,aspect5,micro,macro
p,0.9651162790697675,0.7906976744186046,0.825,0.9382022471910112,0.9408284023668639,0.96,0.9115523465703971,0.9033074338410412
r,0.9880952380952381,0.8292682926829268,0.9166666666666666,0.9175824175824175,0.9137931034482759,1.0,0.933456561922366,0.9275676197459207
f1,0.9764705882352942,0.8095238095238095,0.8684210526315789,0.9277777777777777,0.9271137026239068,0.9795918367346939,0.9223744292237442,0.9148164612545102

Multi-layer Perceptron,aspect0,aspect1,aspect2,aspect3,aspect4,aspect5,micro,macro
p,0.9651162790697675,0.7906976744186046,0.825,0.9382022471910112,0.9408284023668639,0.96,0.917535115541459,0.9033074338410412
r,0.9880952380952381,0.8292682926829268,0.9166666666666666,0.9175824175824175,0.9137931034482759,1.0,0.9357670979667283,0.9275676197459207
f1,0.9764705882352942,0.8095238095238095,0.8684210526315789,0.9277777777777777,0.9271137026239068,0.9795918367346939,0.9265614275909403,0.9148164612545102

Naive Bayes,aspect0,aspect1,aspect2,aspect3,aspect4,aspect5,micro,macro
p,0.9651162790697675,0.7906976744186046,0.825,0.9382022471910112,0.9408284023668639,0.96,0.9118670274449169,0.9033074338410412
r,0.9880952380952381,0.8292682926829268,0.9166666666666666,0.9175824175824175,0.9137931034482759,1.0,0.8720887245841035,0.9275676197459207
f1,0.9764705882352942,0.8095238095238095,0.8684210526315789,0.9277777777777777,0.9271137026239068,0.9795918367346939,0.8915343915343915,0.9148164612545102

Random Forest,aspect0,aspect1,aspect2,aspect3,aspect4,aspect5,micro,macro
p,0.9651162790697675,0.7906976744186046,0.825,0.9382022471910112,0.9408284023668639,0.96,0.8998133167392657,0.9033074338410412
r,0.9880952380952381,0.8292682926829268,0.9166666666666666,0.9175824175824175,0.9137931034482759,1.0,0.8909426987060998,0.9275676197459207
f1,0.9764705882352942,0.8095238095238095,0.8684210526315789,0.9277777777777777,0.9271137026239068,0.9795918367346939,0.8953560371517028,0.9148164612545102

Stochastic Gradient Descent,aspect0,aspect1,aspect2,aspect3,aspect4,aspect5,micro,macro
p,0.9651162790697675,0.7906976744186046,0.825,0.9382022471910112,0.9408284023668639,0.96,0.90321722946025,0.9033074338410412
r,0.9880952380952381,0.8292682926829268,0.9166666666666666,0.9175824175824175,0.9137931034482759,1.0,0.897016107736995,0.9275676197459207
f1,0.9764705882352942,0.8095238095238095,0.8684210526315789,0.9277777777777777,0.9271137026239068,0.9795918367346939,0.9001059883412825,0.9148164612545102

Support Vector Machine,aspect0,aspect1,aspect2,aspect3,aspect4,aspect5,micro,macro
p,0.9651162790697675,0.7906976744186046,0.825,0.9382022471910112,0.9408284023668639,0.96,0.8978001833180568,0.9033074338410412
r,0.9880952380952381,0.8292682926829268,0.9166666666666666,0.9175824175824175,0.9137931034482759,1.0,0.905268022181146,0.9275676197459207
f1,0.9764705882352942,0.8095238095238095,0.8684210526315789,0.9277777777777777,0.9271137026239068,0.9795918367346939,0.9015186378278878,0.9148164612545102

