,text,_score,_pvalue
861,hạn,699.6538853857567,3.5560599886604156e-154
851,hăm,315.7414599406529,1.2260907736838236e-70
1753,sử_dụng,268.86948376223904,2.0012540275643724e-60
1276,mới,244.38643847759386,4.3481188894198604e-55
2202,xa,216.01541403931748,6.69204423516619e-49
306,bị,123.80197173200061,9.308503904887822e-29
518,cũ,121.8471964237543,2.493192692940793e-28
583,date,92.25695583871531,7.612211771610938e-22
1732,sản_xuất,89.50331804693822,3.0612461819098456e-21
1626,rách,84.46212342201879,3.916463638634879e-20
183,bao_bì,76.0412792614573,2.777964410089923e-18
599,dài,49.69782393669633,1.7934472307177798e-12
578,da,43.379525222551926,4.5088135275617775e-11
1754,sữa,42.49905908425046,7.071623340371243e-11
502,còn,40.347115303094526,2.1261913840589403e-10
1482,năm,38.633068390560965,5.11450111747733e-10
624,dơ,35.55133531157269,2.4841669829628823e-09
42,2019,34.9718471810089,3.3450699681465467e-09
863,hạn_dùng,33.69999999999999,6.430068775081268e-09
803,hsd,33.69999999999999,6.430068775081268e-09
647,dị_ứng,33.45728239366964,7.284650407672425e-09
240,bé,32.868842873459634,9.85907967146006e-09
2408,đỏ,29.387563798219592,5.925668899241714e-08
1819,tháng,28.94836795252225,7.433341518120717e-08
284,bẩn,25.844842839872502,3.699919211778005e-07
1005,kích_ứng,25.275,4.971103583529125e-07
1234,mẩn,25.275,4.971103583529125e-07
1347,ngứa,25.275,4.971103583529125e-07
1501,nổi,22.711656157270024,1.8822264784689546e-06
1707,sx,22.387941731858646,2.22768264004944e-06
228,bám,19.879129574678537,8.249603374218949e-06
43,2020,19.879129574678537,8.249603374218949e-06
950,khó_chịu,19.87168514758707,8.281791355050416e-06
1076,lâu,19.061804928396327,1.2655249690273477e-05
324,bụi,18.21459940652819,1.973601812245273e-05
1113,lận,16.849999999999994,4.0453329666234876e-05
1285,mụn,16.849999999999994,4.0453329666234876e-05
1279,mới_toanh,16.849999999999994,4.0453329666234876e-05
2040,túi_bóng,16.849999999999994,4.0453329666234876e-05
1739,sẵn,16.849999999999994,4.0453329666234876e-05
544,cấn,16.849999999999994,4.0453329666234876e-05
1151,may_mắn,16.849999999999994,4.0453329666234876e-05
1986,trẻ_con,16.849999999999994,4.0453329666234876e-05
625,dơ_bẩn,16.849999999999994,4.0453329666234876e-05
2105,từ,16.223527369152087,5.629066922507819e-05
2021,tã,15.202537128712862,9.657358342256721e-05
956,không,14.453457102449766,0.0001436659138923565
1912,tiếp_tục,14.405014521118755,0.00014740925300791964
1371,nhà,14.146565281899106,0.00016910555760028386
739,gây,14.081636093876451,0.00017504447753607938
2141,vui_vẻ,14.081636093876451,0.00017504447753607938
1338,ngắn,12.859955489614244,0.0003356885777025551
1987,trẻ_em,12.859955489614244,0.0003356885777025551
1455,nsx,12.859955489614244,0.0003356885777025551
688,ghê,12.203418644906035,0.00047702020245555366
1214,móp,11.905256464603642,0.0005597576119578652
1402,nhưng,11.336021844813425,0.000760179933290941
620,dùng,11.257325717915931,0.000793093899760355
1892,tiki,11.211196678543448,0.0008130527244467882
