,text,_score,_pvalue
383,chính,827.971777765627,4.473240139959665e-182
830,hãng,714.8814669991699,1.7365187638218698e-157
371,chuẩn,372.74716627397993,4.721247328359222e-83
836,hình,73.62687526825223,9.437098632571806e-18
712,giả,70.23302681964888,5.2696745559443045e-17
1202,mã_vạch,66.12347713326719,4.235407731347537e-16
2116,uy_tín,57.31459623658033,3.713887654787254e-14
1768,tem,50.15027170700779,1.4241141122394622e-12
2349,đúng,41.81133467783824,1.0051900942041954e-10
817,hàng,34.84285117359013,3.5741953013175127e-09
971,ki,32.534351145038165,1.1710426563883571e-08
1157,mik,32.534351145038165,1.1710426563883571e-08
2439,ưa,32.534351145038165,1.1710426563883571e-08
1889,ti,32.534351145038165,1.1710426563883571e-08
1228,mạng,32.534351145038165,1.1710426563883571e-08
350,check,21.49297358871762,3.551275080966088e-06
798,hoá_đơn,20.376725258900777,6.359862431552006e-06
2299,đem,20.376725258900777,6.359862431552006e-06
2026,tìm,20.376725258900777,6.359862431552006e-06
1534,phao,20.376725258900777,6.359862431552006e-06
2379,đầy_đủ,17.62687941981253,2.6876272805972838e-05
1749,sợ,16.684092692030763,4.4149654597726996e-05
2053,tương_đương,16.267175572519083,5.500866809018223e-05
2015,tàu_hoả,16.267175572519083,5.500866809018223e-05
820,hàng_hóa,16.267175572519083,5.500866809018223e-05
884,hỏi_thăm,16.267175572519083,5.500866809018223e-05
81,399k,16.267175572519083,5.500866809018223e-05
909,jumbo_ultra,16.267175572519083,5.500866809018223e-05
996,kén,16.267175572519083,5.500866809018223e-05
151,99k,16.267175572519083,5.500866809018223e-05
824,hàng_y,16.267175572519083,5.500866809018223e-05
1050,loay_hoay,16.267175572519083,5.500866809018223e-05
2075,tặng_phẩm,16.267175572519083,5.500866809018223e-05
2022,tã_êm,16.267175572519083,5.500866809018223e-05
658,dục,16.267175572519083,5.500866809018223e-05
2114,up,16.267175572519083,5.500866809018223e-05
2293,đa_phần,16.267175572519083,5.500866809018223e-05
174,apply,16.267175572519083,5.500866809018223e-05
188,barcode,16.267175572519083,5.500866809018223e-05
215,book,16.267175572519083,5.500866809018223e-05
235,bát,16.267175572519083,5.500866809018223e-05
131,75cm,16.267175572519083,5.500866809018223e-05
271,bạch,16.267175572519083,5.500866809018223e-05
273,bạn_bè,16.267175572519083,5.500866809018223e-05
2288,úc,16.267175572519083,5.500866809018223e-05
2119,vali,16.267175572519083,5.500866809018223e-05
2268,yks,16.267175572519083,5.500866809018223e-05
372,chuẩn_bị,16.267175572519083,5.500866809018223e-05
441,chủ,16.267175572519083,5.500866809018223e-05
448,chửi,16.267175572519083,5.500866809018223e-05
107,54m,16.267175572519083,5.500866809018223e-05
451,cn,16.267175572519083,5.500866809018223e-05
457,code,16.267175572519083,5.500866809018223e-05
1929,to_con,16.267175572519083,5.500866809018223e-05
166,al,16.267175572519083,5.500866809018223e-05
1138,lựa,16.267175572519083,5.500866809018223e-05
1578,picnic,16.267175572519083,5.500866809018223e-05
1303,nghiên_cứu,16.267175572519083,5.500866809018223e-05
1598,quét,16.267175572519083,5.500866809018223e-05
44,2021,16.267175572519083,5.500866809018223e-05
1326,ngày_mai,16.267175572519083,5.500866809018223e-05
1188,myla,16.267175572519083,5.500866809018223e-05
1185,munich,16.267175572519083,5.500866809018223e-05
1341,ngồi,16.267175572519083,5.500866809018223e-05
1842,thù,16.267175572519083,5.500866809018223e-05
1183,mua_lẻ,16.267175572519083,5.500866809018223e-05
1759,t2,16.267175572519083,5.500866809018223e-05
1179,mooney,16.267175572519083,5.500866809018223e-05
1172,momo,16.267175572519083,5.500866809018223e-05
1761,t9,16.267175572519083,5.500866809018223e-05
1769,test,16.267175572519083,5.500866809018223e-05
1613,quỷ,16.267175572519083,5.500866809018223e-05
1779,thanks_tiki,16.267175572519083,5.500866809018223e-05
1375,nhám,16.267175572519083,5.500866809018223e-05
1685,similac,16.267175572519083,5.500866809018223e-05
1394,nhăn_nheo,16.267175572519083,5.500866809018223e-05
1574,phụ,16.267175572519083,5.500866809018223e-05
1396,như,15.408418046374322,8.660164162935077e-05
2270,yên_tâm,15.172266631083854,9.813417843074248e-05
1320,nguyên,14.74267716479021,0.00012322518830027967
1870,thị,14.328649059145082,0.00015351078789614032
1216,mô_tả,14.204057142360025,0.0001640164961635096
240,bé,12.719059702221712,0.00036194770977941016
2429,đỡ,12.513069519023071,0.0004041151269771193
1418,nhật,11.980873402803402,0.0005374938576173694
1754,sữa,11.254301372027097,0.0007943871550801407
2021,tã,10.755261176692068,0.001039832918494626
2072,tắm,10.724392733942063,0.0010573236341067747
1272,một_chút,10.724392733942063,0.0010573236341067747
414,chậu,10.724392733942063,0.0010573236341067747
7,100,10.724392733942063,0.0010573236341067747
1894,tikinow,10.724392733942063,0.0010573236341067747
304,bỉm,10.383225730889592,0.001271653292323061
1853,thấm,10.366822658439654,0.001283001684009833
1211,mình,10.26172430311476,0.0013581867702424602
956,không,9.84908026463674,0.0016991669006677032
854,hơn,8.467390681363085,0.0036156972398901943
850,hút,8.370613335937628,0.0038133690024361065
2291,ăn,8.342046346015382,0.003873794122905118
306,bị,8.12075600968994,0.0043761305974551554
474,cung_cấp,8.115327714114795,0.004389253735275989
494,cám_ơn,8.110860192166035,0.00440008421409055
620,dùng,7.600555794317832,0.005835031087223315
264,bú,7.164324529572541,0.007436768901780126
2260,xếp,7.164324529572541,0.007436768901780126
1638,rút,7.164324529572541,0.007436768901780126
1648,rẽ,7.164324529572541,0.007436768901780126
1582,qr,7.164324529572541,0.007436768901780126
2372,đất,7.164324529572541,0.007436768901780126
274,bản,7.164324529572541,0.007436768901780126
648,dịch,7.164324529572541,0.007436768901780126
2237,xác_nhận,7.164324529572541,0.007436768901780126
919,khen,7.164324529572541,0.007436768901780126
868,hầm,7.164324529572541,0.007436768901780126
1392,nhúng,7.164324529572541,0.007436768901780126
778,hiển_thị,7.164324529572541,0.007436768901780126
2118,va,7.164324529572541,0.007436768901780126
2130,việt,7.164324529572541,0.007436768901780126
668,enfa,7.164324529572541,0.007436768901780126
1838,thông_minh,7.164324529572541,0.007436768901780126
1141,ma,7.164324529572541,0.007436768901780126
2401,đểu,7.164324529572541,0.007436768901780126
1160,mini,7.164324529572541,0.007436768901780126
461,comment,7.164324529572541,0.007436768901780126
61,295k,7.164324529572541,0.007436768901780126
1134,lợi,7.164324529572541,0.007436768901780126
1209,mê,7.164324529572541,0.007436768901780126
1869,thế_nào,7.119379139636267,0.007625510928658891
363,chu_đáo,6.657934207960896,0.00987152867344681
2056,tưởng,6.657934207960896,0.00987152867344681
2470,ủng_hộ,6.3692865768210565,0.011611226699051404
521,cũng,6.282798081114308,0.012191545711755753
229,bán,6.217041778758494,0.0126526346212979
1371,nhà,6.009595896274909,0.014228285587116142
1635,rõ,5.41021847607653,0.020019210356315074
1937,trading,5.41021847607653,0.020019210356315074
1953,tràn,5.409666823087753,0.02002553776072193
1004,kích_thước,5.286251983015208,0.02149443247750324
1262,mỏng,5.173379519345467,0.022935554687574265
1056,loại,5.115417268171413,0.023714162802853413
1464,này,4.965399199638019,0.02585934540551014
2064,tả,4.78503226693613,0.02870810982112873
651,dịch_vụ,4.775384670494803,0.02886939607258852
518,cũ,4.733458470201782,0.029581346168878482
725,giống,4.619454365043827,0.03161129227940785
422,chỉ,4.610511496949788,0.03177655374517069
968,khỏi,4.453433681638911,0.034831145079756265
2412,đồ_chơi,4.453433681638911,0.034831145079756265
531,cạnh_tranh,4.453433681638911,0.034831145079756265
1110,lần,4.432624580460152,0.035258250839804536
600,dài_dài,4.385691411049539,0.03624178997973768
920,khi,4.278445055004102,0.038598643947305424
1857,thấy,4.270052111116181,0.03878974088622357
753,gặp,4.171023173007691,0.041120959777278365
1439,nhựa,4.171023173007691,0.041120959777278365
982,kiểm,4.171023173007691,0.041120959777278365
653,dịu,4.171023173007691,0.041120959777278365
1904,tiêu_hoá,4.171023173007691,0.041120959777278365
1575,phụ_phí,4.171023173007691,0.041120959777278365
193,bich,4.171023173007691,0.041120959777278365
714,giải_thích,4.171023173007691,0.041120959777278365
1913,tiết,4.171023173007691,0.041120959777278365
882,học,4.171023173007691,0.041120959777278365
1215,mô,4.171023173007691,0.041120959777278365
1046,liền,4.171023173007691,0.041120959777278365
418,chặt,4.171023173007691,0.041120959777278365
1872,thịt,4.171023173007691,0.041120959777278365
1020,kỳ,4.171023173007691,0.041120959777278365
34,18,4.171023173007691,0.041120959777278365
943,khác,4.088481747311497,0.043176409408001416
503,có,4.008441377397646,0.04527298482335693
861,hạn,3.7643277535185784,0.05235690025010191
1726,sản_phẩm,3.7354193750676687,0.053270292642826685
1636,rõ_ràng,3.7003005434140155,0.05440266789902368
1506,nội_địa,3.7003005434140155,0.05440266789902368
755,gọn,3.7003005434140155,0.05440266789902368
316,bộ,3.481146985733001,0.062071702349702704
2188,với,3.407358858805417,0.06490625271513172
1892,tiki,3.30042118105115,0.06926212185206525
703,giá_cả,3.25809479117785,0.071071656845256
1971,trước,3.238154926968909,0.07194161421363518
207,bobby,3.141399040557154,0.07632830906185226
1077,lâu_dài,3.108520889379247,0.07788365970396856
2368,đảm_bảo,3.0952777006165553,0.07851975394970401
1047,lo,3.0952777006165553,0.07851975394970401
2445,ưu_đãi,3.0952777006165553,0.07851975394970401
851,hăm,3.0736743312998596,0.07956944029205075
1324,ngày,3.0240400700670937,0.08203885601834345
2176,vậy,3.0122008446738624,0.08264001564062948
1670,sau,2.9619427701590744,0.08524545877302996
1402,nhưng,2.947069131997116,0.08603345483998637
1090,lúc,2.8892538714218676,0.08917221394438572
1173,mong,2.87383809389217,0.09002993322530688
499,câu,2.705109238038265,0.10002723027104338
1744,số_lượng,2.705109238038265,0.10002723027104338
1297,ng,2.705109238038265,0.10002723027104338
1417,nhập_khẩu,2.705109238038265,0.10002723027104338
2127,viết,2.705109238038265,0.10002723027104338
20,12kg,2.705109238038265,0.10002723027104338
1132,lời,2.705109238038265,0.10002723027104338
999,kêu,2.705109238038265,0.10002723027104338
1936,tra,2.705109238038265,0.10002723027104338
1983,trắng,2.705109238038265,0.10002723027104338
400,chạy,2.705109238038265,0.10002723027104338
761,gỗ,2.705109238038265,0.10002723027104338
1174,mong_tiki,2.705109238038265,0.10002723027104338
947,khâu,2.705109238038265,0.10002723027104338
1489,nằm,2.705109238038265,0.10002723027104338
2266,y_như,2.705109238038265,0.10002723027104338
1161,miêu_tả,2.705109238038265,0.10002723027104338
2397,đều,2.7048334115438766,0.1000445319262717
459,combo,2.7048334115438766,0.1000445319262717
1693,so,2.688815294173017,0.10105492355548198
2023,tè,2.643359924917879,0.10398342055581943
1384,nhé,2.6402938545401136,0.10418427187097962
1474,nói,2.639688208596473,0.10422399659492455
359,cho,2.623948353254124,0.1052622257786202
949,khó,2.601337579389672,0.10677356637465331
2147,vào,2.581886438291882,0.10809277219230186
201,biết,2.5269771586583913,0.11191442675758284
1222,mùi,2.499820563942328,0.1138592700667952
533,cả,2.499820563942328,0.1138592700667952
1205,méo,2.481659492029851,0.11518066741385846
1583,qua,2.458939465039887,0.1168576585351307
846,hôm,2.458939465039887,0.1168576585351307
2422,đổi,2.3974659784138908,0.12153197159248318
2361,được,2.368209893592813,0.12382897428355488
1362,nhiều,2.3502026273822296,0.12526672391756635
1130,lớn,2.335992491787893,0.12641439681042796
1526,pampers,2.335992491787893,0.12641439681042796
897,hợp_lý,2.335992491787893,0.12641439681042796
1253,mềm_mại,2.335992491787893,0.12641439681042796
1241,mặc,2.3327043377486536,0.12668162494607127
2387,đặt,2.3327043377486536,0.12668162494607127
2005,tuy_nhiên,2.326789074067948,0.12716394146197055
2193,vừa,2.326789074067948,0.12716394146197055
587,do,2.274519005161896,0.13151592169240336
2174,vận_chuyển,2.274519005161896,0.13151592169240336
2466,ổn,2.2693385569457134,0.13195621012779377
1509,ok,2.2438671359838485,0.1341451198840302
1353,nhanh,2.2263529464847043,0.13567376312168175
339,cao,2.213045518535899,0.136848275423635
406,chất,2.1928457055247694,0.13865294056115185
2058,tại,2.1928457055247694,0.13865294056115185
2355,đơn,2.1548088737323625,0.1421241275379648
1236,mẫu,2.151572031909901,0.14242399619589738
233,báo,2.151572031909901,0.14242399619589738
